Código,Espécie,Sexo,Localidade,Latitude,Longitude,Ambiente,Armadilha,Condição da armadilha,Mês,Data de ligação,Data de reposição do álcool,Data de retirada,Temperatura média (°C),Umidade média (%),Velocidade do vento média (m/s),Chuva média (mm),Pressão média (hPa),Pto. Orvalho média (°C)
TabRO 0071,Diachlorus curvipes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0072,Diachlorus curvipes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0073,Tabanus occidentalis var. dorsovittatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0074,Diachlorus curvipes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0075,Tabanus occidentalis var. dorsovittatus,M,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0076*,Tabanus rondoniensis sp.n.,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0077,Família Syrphidae,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0078,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0079,Tabanus discifer,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0080,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0081,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0082,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0083,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0084,Stypommisa aripuana,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Pasto,Malaise,Preservada,Agosto,3 de agosto de 2019,5 de agosto de 2019,8 de agosto de 2019,23.08,52.71,Não consta no inpe,0,1001.37,10.77
TabRO 0085,Tabanus occidentalis var. dorsovittatus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Pasto,Malaise,Preservada,Agosto,3 de agosto de 2019,5 de agosto de 2019,8 de agosto de 2019,23.08,52.71,Não consta no inpe,0,1001.37,10.77
TabRO 0086,Stypommisa aripuana,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Pasto,Malaise,Preservada,Agosto,3 de agosto de 2019,5 de agosto de 2019,8 de agosto de 2019,23.08,52.71,Não consta no inpe,0,1001.37,10.77
TabRO 0087,Tabanus occidentalis,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Pasto,Malaise,Preservada,Agosto,3 de agosto de 2019,5 de agosto de 2019,8 de agosto de 2019,23.08,52.71,Não consta no inpe,0,1001.37,10.77
